real	0m0.141s
real	0m0.115s
real	0m0.111s
real	0m0.111s
real	0m0.126s
real	0m0.127s
real	0m0.111s
real	0m0.121s
real	0m0.108s
real	0m0.120s
real	0m0.194s
real	0m0.126s
real	0m0.113s
real	0m0.119s
real	0m0.149s
real	0m0.157s
real	0m0.166s
real	0m0.170s
real	0m0.214s
real	0m0.213s
real	0m0.201s
real	0m0.168s
real	0m0.163s
real	0m0.159s
real	0m0.154s
real	0m0.151s
real	0m0.145s
real	0m0.156s
real	0m0.143s
real	0m0.143s
real	0m0.143s
real	0m0.180s
real	0m0.174s
real	0m0.155s
real	0m0.157s
real	0m0.161s
real	0m0.139s
real	0m0.131s
real	0m0.143s
real	0m0.142s
real	0m0.145s
real	0m0.128s
real	0m0.161s
real	0m0.144s
real	0m0.156s
real	0m0.150s
real	0m0.161s
real	0m0.156s
real	0m0.211s
real	0m0.170s
real	0m0.134s
real	0m0.249s
real	0m0.155s
real	0m0.153s
real	0m0.156s
real	0m0.145s
real	0m0.162s
real	0m0.158s
real	0m0.168s
real	0m0.188s
real	0m0.174s
real	0m0.153s
real	0m0.132s
real	0m0.148s
real	0m0.160s
real	0m0.165s
real	0m0.150s
real	0m0.142s
real	0m0.159s
real	0m0.144s
real	0m0.163s
real	0m0.167s
real	0m0.168s
real	0m0.193s
real	0m0.176s
real	0m0.161s
real	0m0.173s
real	0m0.152s
real	0m0.173s
real	0m0.160s
real	0m0.161s
real	0m0.151s
real	0m0.158s
real	0m0.146s
real	0m0.152s
real	0m0.170s
real	0m0.148s
real	0m0.142s
real	0m0.158s
real	0m0.157s
real	0m0.168s
real	0m0.161s
real	0m0.146s
real	0m0.181s
real	0m0.160s
real	0m0.163s
real	0m0.155s
real	0m0.162s
real	0m0.166s
real	0m0.152s
